Time, XRP(Price), Cash, Market Value, Shares,
27620, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27691, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27762, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27832, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27903, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27974, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28044, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28115, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28185, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28256, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28326, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28397, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28468, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28539, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28609, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
28680, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
28750, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
28821, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
28891, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
28962, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29033, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29103, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29174, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29244, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29315, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29385, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29456, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29526, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29597, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29668, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29738, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29809, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29879, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
29950, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30021, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30091, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30162, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30232, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30303, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30374, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30444, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30515, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30585, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30656, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30726, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30797, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30868, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
30939, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
31010, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
31080, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
31151, 0.18857212, 538.4905016558365, 636.70730458489, 3376.46575, 
